                                 enable  prepare  protect                                duty  hardware                            connection
   clock                          count    count    count        rate   accuracy phase  cycle    enable   consumer                         id
                      npll_25m       0       0        0        25000000    0          0     50000      Y                        deviceless                      no_connection_id         
             clk_emmc_card_sel       1       1        0        400000000   0          0     50000      Y               deviceless                      no_connection_id         
                clk_emmc_card_divn   1       1        0        200000000   0          0     50000      Y                  deviceless                      no_connection_id         
                   clk_emmc_card_eb  1       1        0        200000000   0          0     50000      Y                     1b40000.mmc                     no_connection_id         
                                                                                                                             deviceless                      no_connection_id         
 hpll                                0       0        0        1228800000  0          0     50000      Y   deviceless                      no_connection_id         
    hpll_1228p8m                     0       0        0        1228800000  0          0     50000      Y      deviceless                      no_connection_id         
       hpll_245p76m                  0       0        0        245760000   0          0     50000      Y         deviceless                      no_connection_id         
          hpll_81p92m                0       0        0        81920000    0          0     50000      Y            deviceless                      no_connection_id         
             hpll_40p96m             0       0        0        40960000    0          0     50000      Y               deviceless                      no_connection_id         
                hpll_20p48m          0       0        0        20480000    0          0     50000      Y                  deviceless                      no_connection_id         
                   hpll_4096k        0       0        0        4096000     0          0     50000      Y                     deviceless                      no_connection_id         
          hpll_49p152m               0       0        0        49152000    0          0     50000      Y            deviceless                      no_connection_id         
             hpll_16p384m            0       0        0        16384000    0          0     50000      Y               deviceless                      no_connection_id         
                sclk_i2s_m_sel       0       0        0        16384000    0          0     50000      Y                  deviceless                      no_connection_id         
                   sclk_i2s_m_divn   0       0        0        16384000    0          0     50000      Y                     deviceless                      no_connection_id         
                      sclk_i2s_m_eb  0       0        0        16384000    0          0     50000      N                        deviceless                      no_connection_id         
                sclk_i2s_tdm_sel     0       0        0        16384000    0          0     50000      Y                  deviceless                      no_connection_id         
                   sclk_i2s_tdm_divn 0       0        0        16384000    0          0     50000      Y                     deviceless                      no_connection_id         
                      sclk_i2s_tdm_eb 0       0        0        16384000    0          0     50000      N                        deviceless                      no_connection_id         
             hpll_24p576m            0       0        0        24576000    0          0     50000      Y               deviceless                      no_connection_id         
                hpll_12p288m         0       0        0        12288000    0          0     50000      Y                  deviceless                      no_connection_id         
                   clk_i2s_audio_ref_eb 0       0        0        12288000    0          0     50000      N                     deviceless                      no_connection_id         
 cpll                                1       1        0        2496000000  0          0     50000      Y   deviceless                      no_connection_id         
    cpll_2496m                       1       1        0        2496000000  0          0     50000      Y      deviceless                      no_connection_id         
       cpll_12m                      0       0        0        12000000    0          0     50000      Y         deviceless                      no_connection_id         
          clk_i2s_ref0_sel           0       0        0        12000000    0          0     50000      Y            deviceless                      no_connection_id         
             clk_i2s_ref0_divn       0       0        0        12000000    0          0     50000      Y               deviceless                      no_connection_id         
                clk_i2s_ref0_eb      0       0        0        12000000    0          0     50000      N                  deviceless                      no_connection_id         
          clk_dphy_tx_ref_eb         0       0        0        12000000    0          0     50000      N            deviceless                      no_connection_id         
          MCLK0_sel                  0       0        0        12000000    0          0     50000      Y            deviceless                      no_connection_id         
             MCLK0_divn              0       0        0        12000000    0          0     50000      Y               deviceless                      no_connection_id         
                MCLK0_eb             0       0        0        12000000    0          0     50000      N                  deviceless                      no_connection_id         
          MCLK1_sel                  0       0        0        12000000    0          0     50000      Y            deviceless                      no_connection_id         
             MCLK1_divn              0       0        0        12000000    0          0     50000      Y               deviceless                      no_connection_id         
                MCLK1_eb             0       0        0        12000000    0          0     50000      N                  deviceless                      no_connection_id         
          MCLK2_sel                  0       0        0        12000000    0          0     50000      Y            deviceless                      no_connection_id         
             MCLK2_divn              0       0        0        12000000    0          0     50000      Y               deviceless                      no_connection_id         
                MCLK2_eb             0       0        0        12000000    0          0     50000      N                  deviceless                      no_connection_id         
          MCLK3_sel                  0       0        0        12000000    0          0     50000      Y            deviceless                      no_connection_id         
             MCLK3_divn              0       0        0        12000000    0          0     50000      Y               deviceless                      no_connection_id         
                MCLK3_eb             0       0        0        12000000    0          0     50000      N                  deviceless                      no_connection_id         
          MCLK4_sel                  0       0        0        12000000    0          0     50000      Y            deviceless                      no_connection_id         
             MCLK4_divn              0       0        0        12000000    0          0     50000      Y               deviceless                      no_connection_id         
                MCLK4_eb             0       0        0        12000000    0          0     50000      N                  deviceless                      no_connection_id         
          MCLK5_sel                  0       0        0        12000000    0          0     50000      Y            deviceless                      no_connection_id         
             MCLK5_divn              0       0        0        12000000    0          0     50000      Y               deviceless                      no_connection_id         
                MCLK5_eb             0       0        0        12000000    0          0     50000      N                  deviceless                      no_connection_id         
          cpupll                     0       0        0        1200000000  0          0     50000      Y            deviceless                      no_connection_id         
             cpupll_600m             0       0        0        600000000   0          0     50000      Y               deviceless                      no_connection_id         
                cpupll_300m          0       0        0        300000000   0          0     50000      Y                  deviceless                      no_connection_id         
                   cpupll_150m       0       0        0        150000000   0          0     50000      Y                     deviceless                      no_connection_id         
                      cpupll_75m     0       0        0        75000000    0          0     50000      Y                        deviceless                      no_connection_id         
