RC: cbr 8000 kbps @ 60 fps gop 30, seed QP 32 (retarget at half-way)
VCMD: hwid=0x43421500 main_addr=0x1000
FRAMEBUF: alloc 0x73800000+0x16e1000 (1920x1080)  in +0x446000  out +0x0
frame 151: P   qp=38 wait=0 bytes=178    cycles=2043171  nal=1 ok
frame 152: P   qp=37 wait=0 bytes=329    cycles=2043203  nal=1 ok
frame 153: P   qp=36 wait=0 bytes=343    cycles=2043190  nal=1 ok
frame 154: P   qp=35 wait=0 bytes=550    cycles=2043190  nal=1 ok
frame 155: P   qp=34 wait=0 bytes=523    cycles=2043205  nal=1 ok
frame 156: P   qp=33 wait=0 bytes=683    cycles=2043199  nal=1 ok
frame 157: P   qp=32 wait=0 bytes=745    cycles=2043174  nal=1 ok
frame 158: P   qp=31 wait=0 bytes=586    cycles=2043174  nal=1 ok
frame 159: P   qp=30 wait=0 bytes=167    cycles=2043174  nal=1 ok
frame 160: P   qp=29 wait=0 bytes=488    cycles=2043173  nal=1 ok
frame 161: P   qp=28 wait=0 bytes=112    cycles=2043195  nal=1 ok
frame 162: P   qp=27 wait=0 bytes=644    cycles=2043174  nal=1 ok
frame 163: P   qp=26 wait=0 bytes=132    cycles=2043195  nal=1 ok
frame 164: P   qp=25 wait=0 bytes=121    cycles=2043174  nal=1 ok
frame 165: P   qp=24 wait=0 bytes=120    cycles=2043173  nal=1 ok
frame 166: P   qp=24 wait=0 bytes=103    cycles=2043174  nal=1 ok
frame 167: P   qp=24 wait=0 bytes=115    cycles=2043192  nal=1 ok
frame 168: P   qp=24 wait=0 bytes=108    cycles=2043187  nal=1 ok
frame 169: P   qp=24 wait=0 bytes=130    cycles=2043164  nal=1 ok
frame 170: P   qp=24 wait=0 bytes=106    cycles=2043174  nal=1 ok
frame 171: P   qp=24 wait=0 bytes=109    cycles=2043186  nal=1 ok
frame 172: P   qp=24 wait=0 bytes=112    cycles=2043174  nal=1 ok
frame 173: P   qp=24 wait=0 bytes=109    cycles=2043204  nal=1 ok
frame 174: P   qp=24 wait=0 bytes=141    cycles=2043174  nal=1 ok
frame 175: P   qp=24 wait=0 bytes=125    cycles=2043174  nal=1 ok
frame 176: P   qp=24 wait=0 bytes=102    cycles=2043174  nal=1 ok
frame 177: P   qp=24 wait=0 bytes=115    cycles=2043174  nal=1 ok
frame 178: P   qp=24 wait=0 bytes=104    cycles=2043193  nal=1 ok
frame 179: P   qp=24 wait=0 bytes=115    cycles=2043173  nal=1 ok
frame 180: IDR qp=33 wait=0 bytes=714    cycles=2091072  nal=5 ok
frame 181: P   qp=36 wait=0 bytes=212    cycles=2043177  nal=1 ok
frame 182: P   qp=35 wait=0 bytes=621    cycles=2043172  nal=1 ok
frame 183: P   qp=34 wait=0 bytes=593    cycles=2043172  nal=1 ok
frame 184: P   qp=33 wait=0 bytes=671    cycles=2043171  nal=1 ok
frame 185: P   qp=32 wait=0 bytes=653    cycles=2043171  nal=1 ok
frame 186: P   qp=31 wait=0 bytes=679    cycles=2043172  nal=1 ok
frame 187: P   qp=30 wait=0 bytes=133    cycles=2043173  nal=1 ok
frame 188: P   qp=29 wait=0 bytes=381    cycles=2043213  nal=1 ok
frame 189: P   qp=28 wait=0 bytes=186    cycles=2043171  nal=1 ok
frame 190: P   qp=27 wait=0 bytes=440    cycles=2043171  nal=1 ok
frame 191: P   qp=26 wait=0 bytes=123    cycles=2043172  nal=1 ok
frame 192: P   qp=25 wait=0 bytes=122    cycles=2043187  nal=1 ok
frame 193: P   qp=24 wait=0 bytes=133    cycles=2043171  nal=1 ok
frame 194: P   qp=23 wait=0 bytes=131    cycles=2043171  nal=1 ok
frame 195: P   qp=22 wait=0 bytes=118    cycles=2043186  nal=1 ok
frame 196: P   qp=22 wait=0 bytes=105    cycles=2043171  nal=1 ok
frame 197: P   qp=22 wait=0 bytes=113    cycles=2043172  nal=1 ok
frame 198: P   qp=22 wait=0 bytes=123    cycles=2043172  nal=1 ok
frame 199: P   qp=22 wait=0 bytes=132    cycles=2043172  nal=1 ok
frame 200: P   qp=22 wait=0 bytes=109    cycles=2043172  nal=1 ok
frame 201: P   qp=22 wait=0 bytes=126    cycles=2043172  nal=1 ok
frame 202: P   qp=22 wait=0 bytes=115    cycles=2043195  nal=1 ok
frame 203: P   qp=22 wait=0 bytes=127    cycles=2043171  nal=1 ok
frame 204: P   qp=22 wait=0 bytes=130    cycles=2043199  nal=1 ok
frame 205: P   qp=22 wait=0 bytes=147    cycles=2043171  nal=1 ok
frame 206: P   qp=22 wait=0 bytes=114    cycles=2043171  nal=1 ok
frame 207: P   qp=22 wait=0 bytes=127    cycles=2043172  nal=1 ok
frame 208: P   qp=22 wait=0 bytes=116    cycles=2043172  nal=1 ok
frame 209: P   qp=22 wait=0 bytes=127    cycles=2043191  nal=1 ok
frame 210: IDR qp=31 wait=0 bytes=735    cycles=2090824  nal=5 ok
frame 211: P   qp=34 wait=0 bytes=118    cycles=2043171  nal=1 ok
frame 212: P   qp=33 wait=0 bytes=112    cycles=2043186  nal=1 ok
frame 213: P   qp=32 wait=0 bytes=124    cycles=2043172  nal=1 ok
frame 214: P   qp=31 wait=0 bytes=134    cycles=2043185  nal=1 ok
frame 215: P   qp=30 wait=0 bytes=110    cycles=2043212  nal=1 ok
frame 216: P   qp=29 wait=0 bytes=116    cycles=2043214  nal=1 ok
frame 217: P   qp=28 wait=0 bytes=115    cycles=2043190  nal=1 ok
frame 218: P   qp=27 wait=0 bytes=118    cycles=2043190  nal=1 ok
frame 219: P   qp=26 wait=0 bytes=126    cycles=2043165  nal=1 ok
frame 220: P   qp=25 wait=0 bytes=138    cycles=2043174  nal=1 ok
frame 221: P   qp=24 wait=0 bytes=119    cycles=2043196  nal=1 ok
frame 222: P   qp=23 wait=0 bytes=145    cycles=2043194  nal=1 ok
frame 223: P   qp=22 wait=0 bytes=130    cycles=2043174  nal=1 ok
frame 224: P   qp=21 wait=0 bytes=162    cycles=2043175  nal=1 ok
frame 225: P   qp=20 wait=0 bytes=137    cycles=2043187  nal=1 ok
frame 226: P   qp=20 wait=0 bytes=131    cycles=2043187  nal=1 ok
frame 227: P   qp=20 wait=0 bytes=129    cycles=2043187  nal=1 ok
frame 228: P   qp=20 wait=0 bytes=178    cycles=2043175  nal=1 ok
frame 229: P   qp=20 wait=0 bytes=129    cycles=2043174  nal=1 ok
frame 230: P   qp=20 wait=0 bytes=110    cycles=2043174  nal=1 ok
frame 231: P   qp=20 wait=0 bytes=130    cycles=2043174  nal=1 ok
frame 232: P   qp=20 wait=0 bytes=110    cycles=2043174  nal=1 ok
frame 233: P   qp=20 wait=0 bytes=129    cycles=2043173  nal=1 ok
frame 234: P   qp=20 wait=0 bytes=109    cycles=2043187  nal=1 ok
frame 235: P   qp=20 wait=0 bytes=129    cycles=2043173  nal=1 ok
frame 236: P   qp=20 wait=0 bytes=109    cycles=2043174  nal=1 ok
frame 237: P   qp=20 wait=0 bytes=143    cycles=2043183  nal=1 ok
frame 238: P   qp=20 wait=0 bytes=127    cycles=2043175  nal=1 ok
frame 239: P   qp=20 wait=0 bytes=131    cycles=2043174  nal=1 ok

RESULT: PASS -- 240/240 frames blob-free (48172 stream bytes, written; avg P = 182 bytes; RC achieved 96 kbps over 240 frames (target 2000 after retarget))
