=== pool_asic3: priming H.264 encode (6 frames @ 8000 kbps) ===
  read_img[0] rc=1 len=32
  read_img[1] rc=2 len=8
  read_img[2] rc=3 len=19439
  read_img[3] rc=4 len=11365
  read_img[4] rc=4 len=10490
  read_img[5] rc=4 len=8078
=== encoder register image base (first 0x90101010) = 0x7381c800 ===
=== FULL RAW DUMP: encoder register image, swreg0..319 (absolute phys) ===
phys=0x7381cc20  +0x420  swreg264  0x00000000
phys=0x7381cc24  +0x424  swreg265  0x00000000
phys=0x7381cc28  +0x428  swreg266  0x00000000
phys=0x7381cc2c  +0x42c  swreg267  0x00000000
phys=0x7381cc30  +0x430  swreg268  0x00000000
phys=0x7381cc34  +0x434  swreg269  0x00000000
phys=0x7381cc38  +0x438  swreg270  0x00000000
phys=0x7381cc3c  +0x43c  swreg271  0x00000000
phys=0x7381cc40  +0x440  swreg272  0x00000000
phys=0x7381cc44  +0x444  swreg273  0x00000000
phys=0x7381cc48  +0x448  swreg274  0x00000000
phys=0x7381cc4c  +0x44c  swreg275  0x00000000
phys=0x7381cc50  +0x450  swreg276  0x00000000
phys=0x7381cc54  +0x454  swreg277  0x84000000
phys=0x7381cc58  +0x458  swreg278  0x00000000
phys=0x7381cc5c  +0x45c  swreg279  0x00000000
phys=0x7381cc60  +0x460  swreg280  0x00000000
phys=0x7381cc64  +0x464  swreg281  0x00000000
phys=0x7381cc68  +0x468  swreg282  0x00000000
phys=0x7381cc6c  +0x46c  swreg283  0x00000000
phys=0x7381cc70  +0x470  swreg284  0x00000000
phys=0x7381cc74  +0x474  swreg285  0x00000000
phys=0x7381cc78  +0x478  swreg286  0x00000000
phys=0x7381cc7c  +0x47c  swreg287  0x00000000
phys=0x7381cc80  +0x480  swreg288  0x00001000
phys=0x7381cc84  +0x484  swreg289  0x00000000
phys=0x7381cc88  +0x488  swreg290  0x00000000
phys=0x7381cc8c  +0x48c  swreg291  0x00000000
phys=0x7381cc90  +0x490  swreg292  0x00000000
phys=0x7381cc94  +0x494  swreg293  0x00000000
phys=0x7381cc98  +0x498  swreg294  0x00000000
phys=0x7381cc9c  +0x49c  swreg295  0x00000000
