# register image marker#1 @0x7381e800  swreg0..400
phys=0x7381ebb8  +0x3b8  swreg238  0x00000000
phys=0x7381ebbc  +0x3bc  swreg239  0x75425000
phys=0x7381ebc0  +0x3c0  swreg240  0x00000000
phys=0x7381ebc4  +0x3c4  swreg241  0x75427000
phys=0x7381ebc8  +0x3c8  swreg242  0x00000000
phys=0x7381ebcc  +0x3cc  swreg243  0x00eae000
phys=0x7381ebd0  +0x3d0  swreg244  0x00608800
phys=0x7381ebd4  +0x3d4  swreg245  0x20000888
phys=0x7381ebd8  +0x3d8  swreg246  0x02225028
phys=0x7381ebdc  +0x3dc  swreg247  0x00072b42
phys=0x7381ebe0  +0x3e0  swreg248  0x0244b400
phys=0x7381ebe4  +0x3e4  swreg249  0x00fff7f8
phys=0x7381ebe8  +0x3e8  swreg250  0x00000000
phys=0x7381ebec  +0x3ec  swreg251  0x00000000
phys=0x7381ebf0  +0x3f0  swreg252  0xfffffffc
phys=0x7381ebf4  +0x3f4  swreg253  0xfffffffc
phys=0x7381ebf8  +0x3f8  swreg254  0xfffffffc
phys=0x7381ebfc  +0x3fc  swreg255  0xfffffffc
phys=0x7381ec00  +0x400  swreg256  0xfffffffc
phys=0x7381ec04  +0x404  swreg257  0xfffffffc
phys=0x7381ec08  +0x408  swreg258  0xfffffffc
phys=0x7381ec0c  +0x40c  swreg259  0xfffffffc
phys=0x7381ec10  +0x410  swreg260  0x00000000
phys=0x7381ec14  +0x414  swreg261  0x07800400
phys=0x7381ec18  +0x418  swreg262  0x00000000
phys=0x7381ec1c  +0x41c  swreg263  0x00000000
phys=0x7381ec20  +0x420  swreg264  0x00000000
phys=0x7381ec24  +0x424  swreg265  0x00000000
phys=0x7381ec28  +0x428  swreg266  0x00000000
phys=0x7381ec2c  +0x42c  swreg267  0x00000000
phys=0x7381ec30  +0x430  swreg268  0x00000000
phys=0x7381ec34  +0x434  swreg269  0x00000000
phys=0x7381ec38  +0x438  swreg270  0x00000000
phys=0x7381ec3c  +0x43c  swreg271  0x00000000
phys=0x7381ec40  +0x440  swreg272  0x00000000
phys=0x7381ec44  +0x444  swreg273  0x00000000
phys=0x7381ec48  +0x448  swreg274  0x00000000
phys=0x7381ec4c  +0x44c  swreg275  0x00000000
phys=0x7381ec50  +0x450  swreg276  0x00000000
phys=0x7381ec54  +0x454  swreg277  0x84000000
phys=0x7381ec58  +0x458  swreg278  0x00000000
phys=0x7381ec5c  +0x45c  swreg279  0x00000000
phys=0x7381ec60  +0x460  swreg280  0x00000000
phys=0x7381ec64  +0x464  swreg281  0x00000000
phys=0x7381ec68  +0x468  swreg282  0x00000000
phys=0x7381ec6c  +0x46c  swreg283  0x00000000
phys=0x7381ec70  +0x470  swreg284  0x00000000
phys=0x7381ec74  +0x474  swreg285  0x00000000
phys=0x7381ec78  +0x478  swreg286  0x00000000
phys=0x7381ec7c  +0x47c  swreg287  0x00000000
phys=0x7381ec80  +0x480  swreg288  0x00001000
phys=0x7381ec84  +0x484  swreg289  0x00000000
phys=0x7381ec88  +0x488  swreg290  0x00000000
phys=0x7381ec8c  +0x48c  swreg291  0x00000000
phys=0x7381ec90  +0x490  swreg292  0x00000000
phys=0x7381ec94  +0x494  swreg293  0x00000000
phys=0x7381ec98  +0x498  swreg294  0x00000000
phys=0x7381ec9c  +0x49c  swreg295  0x00000000
phys=0x7381eca0  +0x4a0  swreg296  0x00000000
phys=0x7381eca4  +0x4a4  swreg297  0x00000000
phys=0x7381eca8  +0x4a8  swreg298  0x00000000
phys=0x7381ecac  +0x4ac  swreg299  0x00000000
phys=0x7381ecb0  +0x4b0  swreg300  0x00000000
phys=0x7381ecb4  +0x4b4  swreg301  0x00000000
phys=0x7381ecb8  +0x4b8  swreg302  0x00000000
phys=0x7381ecbc  +0x4bc  swreg303  0x00000000
phys=0x7381ecc0  +0x4c0  swreg304  0x00000000
phys=0x7381ecc4  +0x4c4  swreg305  0x00000000
phys=0x7381ecc8  +0x4c8  swreg306  0x00000000
phys=0x7381eccc  +0x4cc  swreg307  0x00000000
phys=0x7381ecd0  +0x4d0  swreg308  0x00000000
phys=0x7381ecd4  +0x4d4  swreg309  0x00000000
phys=0x7381ecd8  +0x4d8  swreg310  0x00000000
phys=0x7381ecdc  +0x4dc  swreg311  0x00000000
phys=0x7381ece0  +0x4e0  swreg312  0x00000000
phys=0x7381ece4  +0x4e4  swreg313  0x00000000
phys=0x7381ece8  +0x4e8  swreg314  0x00000000
phys=0x7381ecec  +0x4ec  swreg315  0x00000000
phys=0x7381ecf0  +0x4f0  swreg316  0x00000000
phys=0x7381ecf4  +0x4f4  swreg317  0x00000000
phys=0x7381ecf8  +0x4f8  swreg318  0x00404800
phys=0x7381ecfc  +0x4fc  swreg319  0x00060460
phys=0x7381ed00  +0x500  swreg320  0x00000400
phys=0x7381ed04  +0x504  swreg321  0x00000000
phys=0x7381ed08  +0x508  swreg322  0x00000000
phys=0x7381ed0c  +0x50c  swreg323  0x00000000
phys=0x7381ed10  +0x510  swreg324  0x00000000
phys=0x7381ed14  +0x514  swreg325  0x00000000
phys=0x7381ed18  +0x518  swreg326  0x00000000
phys=0x7381ed1c  +0x51c  swreg327  0x00000000
phys=0x7381ed20  +0x520  swreg328  0x00000000
phys=0x7381ed24  +0x524  swreg329  0x00000000
phys=0x7381ed28  +0x528  swreg330  0x00000000
phys=0x7381ed2c  +0x52c  swreg331  0x00000000
phys=0x7381ed30  +0x530  swreg332  0x00000000
phys=0x7381ed34  +0x534  swreg333  0x00000000
phys=0x7381ed38  +0x538  swreg334  0x00000000
phys=0x7381ed3c  +0x53c  swreg335  0x00000000
phys=0x7381ed40  +0x540  swreg336  0x00000000
phys=0x7381ed44  +0x544  swreg337  0x00000000
phys=0x7381ed48  +0x548  swreg338  0x00000000
phys=0x7381ed4c  +0x54c  swreg339  0x00000000
